epoch,accuracy,loss,val_accuracy,val_loss
0,0.3659009039402008,1.3279451131820679,0.4322766661643982,1.2808382511138916
1,0.6628840565681458,0.9818601608276367,0.6455331444740295,0.91355961561203
2,0.7915859222412109,0.5843769311904907,0.7089337110519409,0.7806890606880188
3,0.847771942615509,0.41697660088539124,0.6887608170509338,0.7766146063804626
4,0.8818156719207764,0.328865110874176,0.7060518860816956,0.8130284547805786
5,0.9064489603042603,0.27376556396484375,0.6945244669914246,0.8618673086166382
6,0.9269305467605591,0.22755664587020874,0.6945244669914246,0.9595419764518738
7,0.9410462379455566,0.18877698481082916,0.7118155360221863,1.0097002983093262
8,0.9537780284881592,0.1585059016942978,0.6974063515663147,1.0755491256713867
9,0.9568225741386414,0.1404123455286026,0.7175792455673218,1.082627296447754
10,0.9595903754234314,0.1311611384153366,0.6974063515663147,1.165008544921875
11,0.9667866230010986,0.11731544137001038,0.6974063515663147,1.1910239458084106
12,0.9692776203155518,0.1019556075334549,0.6743515729904175,1.2441691160202026
13,0.9739828109741211,0.09019447863101959,0.7031700015068054,1.2649000883102417
14,0.9731525182723999,0.0909530520439148,0.6858789920806885,1.2747143507003784
15,0.9731525182723999,0.08082254976034164,0.6945244669914246,1.3133699893951416
16,0.976473867893219,0.080355703830719,0.6916426420211792,1.3633038997650146
17,0.975643515586853,0.0770999863743782,0.7060518860816956,1.423324704170227
18,0.9759202599525452,0.07361891120672226,0.6887608170509338,1.427589774131775
19,0.9761970639228821,0.0662131980061531,0.6887608170509338,1.439103126525879
20,0.9761970639228821,0.06825689971446991,0.6945244669914246,1.4782118797302246
21,0.9778577089309692,0.06926357746124268,0.6945244669914246,1.5378741025924683
22,0.9767506122589111,0.06327064335346222,0.6858789920806885,1.5287123918533325
23,0.9784113168716431,0.06059356406331062,0.6887608170509338,1.5379682779312134
24,0.9795184135437012,0.05683228000998497,0.6858789920806885,1.6079996824264526
